FIELD,ID,RA,DEC,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,DL
GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.001144388341171671,3.9078466906508296,1.36705420761725,16377.307363831627,1437.295927009079
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815456,19.4455052485546,2.12677925054694,14610.06428423261,666.9478951892702
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.007587635137700887,14.520550395692299,2.31713944538328,15374.27830794985,987.4400743034412
GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.027063765897924377,3.88996026806824,1.62764684413804,15343.154062106187,973.9995107578957
GN2,21693,189.2325241499276,62.24847399031422,0.2819808192873829,0.02346218227192973,2.51928899395695,1.4327140984393398,16434.99410326425,1464.121519596729
GN3,34456,189.33981288,62.324291407,0.2243199370050017,0.010113430014904846,85.4156646782026,2.75107577140578,15695.781592404122,1128.1413962250524
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.014141659816280256,28.2827543404733,2.68852447315662,15962.43024127925,1247.3676076150064
GN3,33397,189.17546982,62.314346623,0.245052751020829,0.01084117783632914,6.15906774066491,1.9088266921288,15961.576268087027,1246.9821739835027
GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.009254443227783871,4.37180834323876,1.18772865255872,16107.064380817186,1312.9763473443024
GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.005207479734088531,4.1323714787567,0.995736555171028,15748.400334035596,1151.4890474996364
GN3,34077,189.21093005,62.317701301,0.2481206951851821,0.013335969497628386,4.11692172025264,0.936844812425672,16000.907312274034,1264.7576735562354
GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.15367238943375552,0.8165377454689601,0.5576697608683531,15460.38984932453,1024.7933559306402
GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.01525848232575925,3.99465281974288,1.63838167271188,16183.517688622132,1347.919727076752
GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.12793665794263642,3.1227880988894903,0.794631487723119,15824.161187120399,1185.2610110586654
GS2,45518,53.154086915,-27.69792974,0.2818814162464867,0.005264621278580262,4.87117851404031,1.05949125423011,16433.71975627996,1463.5278369957118
GS2,49771,53.140583777,-27.67298104899999,0.2749025730921826,0.049702848588614755,1.94538182949105,0.626648079476518,16344.25098704178,1421.9693247735147
GS3,37720,53.13910594400036,-27.73030499000032,0.1057641937295049,0.006804441036278938,13.412300376764,2.4807509608574,14175.896963612253,494.02663301924946
GS3,41882,53.17334823800001,-27.71496352199999,0.2372331423645062,0.006874293503334503,5.92866936393266,1.6055047467413999,15861.32888511297,1201.8961916247194
GS3,39564,53.17732428600002,-27.72556110799999,0.2528897508817713,0.06111482420033002,0.9320022706184651,0.427817864551479,16062.04660630431,1292.4854775189917
GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479,0.05973070655503916,23.2560855140048,3.88170643555486,14280.640062232802,535.1169393113698
GS4,27549,53.14471326884141,-27.78544132748693,0.2466535626540622,0.0007064277381128936,5.94629698649478,0.44132892234342297,15982.098673225079,1256.2511310719
GS4,26639,53.14211591688386,-27.78669472504702,0.2287977853651849,0.0056850444137075224,5.86607480710474,0.862925903265404,15753.187608381671,1153.617639262408
GS4,26696,53.19564104531577,-27.78777124362778,0.2263884209328076,0.0031452829992899556,4.62663424899969,0.9282033550494021,15722.299556358592,1139.8966525748065
GS4,25632,53.15463536626137,-27.79323794081716,0.2326235439075441,0.011919234994931754,3.86022492274025,0.634512232101011,15802.233832894715,1175.4675881792
GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048,0.012060308875830024,1.1889637142179,0.679599385030883,15381.502380896,990.5642877823304
GS4,27535,53.17032351500001,-27.78526213799999,0.2765414173313187,0.006441936523782456,0.404378262357443,0.363114032402235,16365.260970187506,1431.7067784064377
GS4,26559,53.14984075026587,-27.78744274151697,0.2443045496376177,0.004182717125030824,0.316070806601133,0.20509634448303,15951.984326354259,1242.6545072976028
GS5,43071,53.122589312,-27.707907687,0.1608178570662489,0.016435051604473252,6.80045146444753,1.2898538289015,14881.684927589311,778.5528742403418
ERSPRIME,39634,53.07823745299999,-27.724923823,0.193187218594363,0.022971366212235455,5.69061790642497,1.5410297416519099,15296.660142379735,953.9818507784208
ERSPRIME,44465,53.05033966000001,-27.703407744,0.2433704904256431,0.005168532593302908,4.03262795207142,1.03895675375783,15940.009687256745,1237.2558856598953
