mean,std
5.999090909090907,2.4767958702832553
6.677999999999999,1.8102328480147067
6.843333333333333,2.320621141581017
7.08,1.7527033486800088
7.17,1.84463071421885
7.355000000000001,1.069677292869829
7.41375,1.3539342125047633
7.4511111111111115,1.1420017755392209
7.505,0.8066652073397415
7.579999999999999,0.8225370237429911
7.646666666666665,1.0045290790071433
7.670000000000001,1.2967189574345743
7.6890909090909085,1.0848331562366043
7.798181818181818,1.920230058487752
7.935555555555556,0.828543774260767
7.9688888888888885,2.380517143082949
8.063333333333334,0.727330349162562
8.219999999999999,0.7436377411733771
8.30625,0.6561484626255558
8.3425,1.1457583649224647
8.413333333333334,0.6827848288351838
8.462,0.700987769423686
8.5975,0.7276771767011512
8.652222222222223,0.6896791487973741
8.742727272727272,0.843316668840176
8.79,1.1860314494871322
8.912727272727274,0.698335288811178
9.13,0.969712397178683
9.321818181818184,1.1448894909703138
9.83727272727273,1.183100760984366
10.543750000000001,1.3519113017046536
