FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR,PAB_SFR_LL,PAB_SFR_EX2_LL,PAB_SFR_LL_1SIGMA,PAB_SFR_EX_LL_1SIGMA
GS3,39564,53.17732428600002,-27.72556110799999,0.2528897508817713,0.06111482420033002,0.9320022706184651,0.427817864551479,16062.04660630431,39564,0.000437621,0.06031,,1.274,0.4053,0.0262474,2,0.018,0.000427261,0.0,0.0960336,0.602453,-11.40354,-13.443428,-1,-1.0,-1.0,0,0.0431,6.77,-99.0,-99.0,-99.0,0.11,0.000437621,0.00027923,-0.0225978,2.1956,3.2949,0.0,1292.4854775189917,1.8627764709271698e+39,8.55072006852483e+38,7.020517283848955,-0.7498392563582854,0.199219421527945,0.27691957195838407,2.6090625894450135,2.6090625894450135,0.34113461748632856,-1.219471842033208,2.139430003770091,-1.407298306949322,1.951603538853977
GS4,27438,53.19392920055293,-27.78579541612264,0.1139344822334479,0.05973070655503916,23.2560855140048,3.88170643555486,14280.640062232802,27438,0.144614,0.3127,,0.576,0.8853,0.0074704,0,1.57721,0.00718915,0.5,5.08476,16.5612,-16.295958,-17.583836,0,0.128,0.128,1,0.1184,8.75,0.076327,0.002211,0.074116,0.13,0.144614,0.0241176,-0.0333741,-1.062,-1.062,0.0,535.1169393113698,7.967580182618349e+39,1.3298801834919427e+39,7.390333953638494,-0.11867355726202078,0.07243955961618338,0.07237915001313842,0.7211161039396988,0.7211161039396988,0.10240230053085225,-1.985425788210577,-1.1456361270088573,-2.173252253126691,-1.3334625919249712
GS4,27549,53.14471326884141,-27.78544132748693,0.2466535626540622,0.0007064277381128936,5.94629698649478,0.44132892234342297,15982.098673225079,27549,0.830548,0.830548,,0.276,0.8838,0.00590889,0,0.357846,0.000835027,0.2,1.91872,3.68439,-17.124793,-17.651228,0,0.24545,-1.0,2,0.2572,7.96,0.6115,0.34057,0.27093,0.27,0.413798,0.038054,0.563762,-1.785,-1.785,0.0,1256.2511310719,1.1227729910895608e+40,8.333122198895616e+38,6.821180079644733,0.030291956899830552,0.03221109755063758,0.03991183137666204,0.413503569630199,0.11092722013320278,0.051288488857206486,-1.2441702545098252,-0.8609586417794568,-1.431996719425939,-1.0487851066955707
GS4,26639,53.14211591688386,-27.78669472504702,0.2287977853651849,0.0056850444137075224,5.86607480710474,0.862925903265404,15753.187608381671,26639,0.794862,0.794862,,0.632,0.5596,0.000943332,0,0.570426,0.000320546,1.2,5.17798,18.6096,-18.04136,-19.118787,0,0.227,0.227,1,0.2266,9.02,0.73225,0.34921,0.38305,0.23,0.737004,0.0880822,0.476833,-0.8741,-0.8741,0.0,1153.617639262408,9.340364017593539e+39,1.3740094222711926e+39,7.052139170515979,-0.0496361978864428,0.06384334573496998,0.051869019435444044,0.08289395716737757,0.050072066967533954,0.08225793561614211,-1.3181994101623218,-1.1856692551085013,-1.5060258750784357,-1.3734957200246152
GS4,26696,53.19564104531577,-27.78777124362778,0.2263884209328076,0.0031452829992899556,4.62663424899969,0.9282033550494021,15722.299556358592,26696,0.458644,0.458644,,0.247,8.0,0.261201,2,1.02181,0.028639,0.0,3.40474,4.68754,-17.49971,-17.732477,0,0.227,0.227,1,0.2202,7.86,0.55296,0.12063,0.43233,0.23,0.493944,0.0373739,0.126946,-1.8391,-1.8391,0.0,1139.8966525748065,7.192643814385119e+39,1.443000626563693e+39,7.61771922100078,-0.16311144578529735,0.08706982968851217,0.03283828247736586,0.14321083984486166,0.1754128377925101,0.0930564776791481,-1.3285922294592112,-1.0222699438290521,-1.516418694375325,-1.210096408745166
GS4,25632,53.15463536626137,-27.79323794081716,0.2326235439075441,0.011919234994931754,3.86022492274025,0.634512232101011,15802.233832894715,25632,0.36604,0.6017,,0.495,0.5461,0.00485209,0,0.53337,0.00120213,0.0,1.65069,3.35491,-16.815055,-17.418765,0,0.23924,-1.0,2,0.2445,8.26,0.20147,0.025339,0.17613,0.24,0.36604,0.0497225,-0.148928,-1.3026,-1.3026,0.0,1175.4675881792,6.381552650198631e+39,1.0489474829547698e+39,7.285227481168245,-0.2150736433201459,0.0713373739207809,0.058954117036389475,0.22139781000110542,0.22139781000110542,0.09254517185382292,-1.3019018689115711,-0.8654304155903199,-1.489728333827685,-1.0532568805064337
GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048,0.012060308875830024,1.1889637142179,0.679599385030883,15381.502380896,26646,0.167533,0.2697,,0.486,0.5151,0.0145457,0,0.349662,0.00218237,0.1,1.0505,1.69089,-16.047064,-16.475255,0,0.2122,0.2122,1,0.2106,7.48,-99.0,-99.0,0.10211,0.21,0.167533,0.0234183,-0.106516,-1.3277,-1.3277,0.0,990.5642877823304,1.3958101850166123e+39,7.97830692403524e+38,7.718322572961929,-0.8751736370171486,0.24806991969256073,0.06066591179051292,-0.09927400245751727,-0.09927400245751727,0.2553801830793608,-1.4505578529350984,-0.6746582183754671,-1.6383843178512123,-0.862484683291581
GS4,27535,53.17032351500001,-27.78526213799999,0.2765414173313187,0.006441936523782456,0.404378262357443,0.363114032402235,16365.260970187506,27535,0.173189,0.3047,,0.526,0.9573,0.0212878,0,0.246612,0.00164711,0.0,0.451604,1.04433,-18.329894,-18.80492,0,0.27443,-1.0,2,0.2787,7.94,-99.0,-99.0,0.077279,0.31,0.173189,0.0192415,-0.287809,-1.218,-1.218,0.0,1431.7067784064377,9.91718450498885e+38,8.905198896424266e+38,7.8137825680997715,-1.0236116068277852,0.38971306010328954,0.048217906449023906,-0.26213191142014347,-0.26213191142014347,0.39268465174666173,-1.1306150238205888,-0.36913532841294705,-1.3184414887367026,-0.5569617933290609
GS4,26559,53.14984075026587,-27.78744274151697,0.2443045496376177,0.004182717125030824,0.316070806601133,0.20509634448303,15951.984326354259,26559,0.00022344,0.6854,,1.274,1.5049,0.0699264,2,0.02163,0.000368499,0.0,0.0388501,0.299684,-10.865472,-13.052789,-1,0.0409,-1.0,3,0.0409,6.61,-99.0,-99.0,9.4826e-06,0.13,0.00022344,0.000200194,-0.0333741,4.4321,4.4321,0.0,1242.6545072976028,5.839526219321131e+38,3.789231577489444e+38,7.289896095645363,-1.2536223872508359,0.28161985114292404,0.38884799498746875,2.3972166900562155,2.3972166900562155,0.48011717711777113,-1.2536223872508359,2.3972166900562155,-1.4414488521669497,2.2093902251401016
GS5,43071,53.122589312,-27.707907687,0.1608178570662489,0.016435051604473252,6.80045146444753,1.2898538289015,14881.684927589311,43071,0.0190533,30.31,,1.274,1.545,0.0175966,0,0.746076,0.00468814,0.2,2.46201,12.1305,-15.546635,-17.260059,0,0.15142,-1.0,2,0.1537,8.78,0.049512,0.017184,0.032328,0.13,0.0190533,0.0200607,-0.0333741,3.8907,7.9602,0.0,778.5528742403418,4.931810708349578e+39,9.354253844526066e+38,6.993700469576107,-0.32699360074964545,0.08231755857237473,0.4569467651273008,1.3930361936391562,1.3930361936391562,0.4643021931992363,-1.6597469613611011,0.060282833027700544,-1.847573426277215,-0.12754363188841333
ERSPRIME,39634,53.07823745299999,-27.724923823,0.193187218594363,0.022971366212235455,5.69061790642497,1.5410297416519099,15296.660142379735,39634,0.149601,0.1662,,0.264,1.1387,0.0255975,0,0.81564,0.00973359,0.0,2.04887,5.66757,-16.814552,-17.750511,0,0.20925,-1.0,2,0.2083,8.54,0.12441,0.016288,0.10812,0.22,0.149601,0.00578678,-0.119634,-1.8074,-1.8074,0.0,953.9818507784208,6.196294918116869e+39,1.6779680016969314e+39,7.675123378294537,-0.227867919792331,0.11752799412552636,0.01678773885201302,0.5971975836509484,0.5971975836509484,0.11872092308827938,-1.483242961159533,-0.6581774577162536,-1.671069426075647,-0.8460039226323675
ERSPRIME,44465,53.05033966000001,-27.703407744,0.2433704904256431,0.005168532593302908,4.03262795207142,1.03895675375783,15940.009687256745,44465,0.224486,0.6862,,0.665,8.0,0.373085,2,0.425682,0.0167739,0.0,0.947199,2.66187,-16.356601,-17.211222,-1,0.2492,-1.0,3,0.2492,8.35,0.12016,0.0066136,0.11355,0.24,0.224486,0.0323008,-0.148928,-0.7613,-0.7613,0.0,1237.2558856598953,7.385835695492477e+39,1.9028692875165752e+39,6.974898817477009,-0.1516003578459788,0.1118147363183561,0.06244731163636039,0.49721038061127254,0.49721038061127254,0.12807108178098683,-1.2574041292001255,-0.6085933907428741,-1.4452305941162393,-0.796419855658988
