#col0: ID in this catalog, the same order as the file you sent to me, 39 galaxies in total
#col1: LogSigma_1 [Msun/kpc^2]
0 7.115943023709629
1 8.092881374200575
2 7.696212983656835
3 7.376507986700897
4 7.3284940618633465
5 8.551415308479926
6 7.709023943585502
7 7.6832117778404285
8 7.320042788844346
9 7.594131215924559
10 7.270825005684036
11 7.020517283848955
12 7.390333953638494
13 6.821180079644733
14 7.052139170515979
15 7.61771922100078
16 7.285227481168245
17 7.718322572961929
18 7.8137825680997715
19 7.289896095645363
20 6.993700469576107
21 7.675123378294537
22 6.974898817477009
23 6.930106895825768
24 6.506055807738846
25 7.038366517209448
26 6.272850127307729
27 7.194365432760976
28 6.987211519439279
29 7.707825825229115
30 6.7836339497331775
31 6.98675386583375
32 6.592844503378898
33 7.124517214435401
34 6.112809051489769
35 7.647884524386628
36 7.205353780684189
37 7.460384118885589
38 6.7956126749707035
