,FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,synth_lmass,fast_lmass,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_peak_phot,td_lmass,DL,PAB_L,PAB_L_ERR
20,GS4,26915,53.16515895500091,-27.7858663779991,0.008409204224163892,0.004078665934038801,10.9418745861401,0.53786606008967,12927.80599815378,26915,3.79003,11.91,3.8568,0.0229262,0,0.469044,0.00167472,0.5,,,0.171429,1.50355,-20.878087,-22.414412,1.317,1.317,1.3177,10.86,36.60720153639619,1.7543539629577613e+37,8.623818950128e+35
28,GN4,22933,189.3339954701966,62.25515386601801,0.2195768565520065,1.7418834289126235,9.76722304326183,0.760524888878797,15634.975300996723,22933,0.467005,28470.0,2.5807,0.476333,0,0.018582,0.00137914,2.9,11.1124,10.61,0.53202,15.39022,-19.269239,-21.756181,0.5787,0.0,0.5787,7.78,1101.2719720542102,1.4172703683960896e+40,1.10355766901345e+39
30,GS5,43071,53.122589312,-27.707907687,0.1608178570662489,0.016435051604473252,6.80045146444753,1.2898538289015,14881.684927589311,43071,0.0190533,30.31,1.545,0.0175966,0,0.746076,0.00468814,0.2,,,2.46201,12.1305,-15.546635,-17.260059,0.15142,-1.0,0.1537,8.78,778.5528746317622,4.9318107133085515e+39,9.35425385393184e+38
29,GN4,26542,189.25788493,62.27269046300001,0.266984509489912,0.2774757820011489,6.76779728540877,0.600446531071398,16242.74141166067,26542,0.00664116,0.0972,1.9087,0.568165,0,0.028308,0.00311196,1.3,9.2761,8.9,0.27032,3.75553,-14.7486,-17.375753,0.2684,0.0,0.2684,6.83,1375.1120549502352,1.531143692877311e+40,1.3584477787805105e+39
30,GN4,22583,189.3379328504185,62.25377458005946,0.1833531799097409,0.2177547027770197,6.67745271037838,0.896032432193947,15170.587766442879,22583,0.00487643,0.01241,1.0046,0.8373,0,0.046818,0.0165656,1.6,7.25,7.21,37.78355,97.95414,-12.341765,-13.816921,0.01,0.0,0.01,6.79,900.0666280871804,6.47220954209583e+39,8.684913108646152e+38
17,GN3,33397,189.17546982,62.314346623,0.245052751020829,0.01084117783632914,6.15906774066491,1.9088266921288,15961.576268087027,33397,0.676842,0.676842,0.8072,0.129569,0,0.933042,0.0718684,0.8,9.4746,9.48,4.36831,20.14806,-18.174565,-19.460854,0.19602,-1.0,0.2131,9.34,1246.982174956667,1.1458503476713026e+40,3.551235058479683e+39
1,GN1,37793,189.31294889,62.364026538,0.07353690209345039,0.019327292491018305,6.14355850177372,1.16524196952163,13762.743084838034,37793,0.00569704,0.005703,1.2517,0.541304,0,0.43032,0.0850586,0.1,6.8991,6.8,0.65771,1.3197,-12.967079,-13.758303,0.07627,-1.0,0.0612,6.87,335.9326931633983,8.295011085129275e+38,1.5733056096477619e+38
1,GS2,44959,53.139785341,-27.700114132,0.01082253792771984,0.0059707386452046134,6.03973511120984,0.676981904206988,12958.744936233368,44959,1.77467,161.4,0.2,0.0010216,2,0.040362,5.80081e-05,0.1,,,4.82653,50.4659,-19.779232,-21.698649,0.2202,-1.0,0.2202,10.42,47.20109575906526,1.6099577632508807e+37,1.8045696577578556e+36
21,GS4,27549,53.14471326884141,-27.78544132748693,0.2466535626540622,0.0007064277381128936,5.94629698649478,0.44132892234342297,15982.098673225079,27549,0.830548,0.830548,0.8838,0.00590889,0,0.357846,0.000835027,0.2,,,1.91872,3.68439,-17.124793,-17.651228,0.24545,-1.0,0.2572,7.96,1256.2511320590097,1.122772992854017e+40,8.333122211991254e+38
9,GS3,41882,53.17334823800001,-27.71496352199999,0.2372331423645062,0.006874293503334503,5.92866936393266,1.6055047467413999,15861.32888511297,41882,0.523059,0.523059,0.7601,0.0096436,0,0.485526,0.00197534,0.3,,,2.4092,8.27127,-17.47764,-18.478981,0.2501,0.2501,0.2448,8.98,1201.8961925313708,1.024668956080524e+40,2.774839971400574e+39
22,GS4,26639,53.14211591688386,-27.78669472504702,0.2287977853651849,0.0056850444137075224,5.86607480710474,0.862925903265404,15753.187608381671,26639,0.794862,0.794862,0.5596,0.000943332,0,0.570426,0.000320546,1.2,,,5.17798,18.6096,-18.04136,-19.118787,0.227,0.227,0.2266,9.02,1153.6176401002704,9.340364031161189e+39,1.374009424267055e+39
34,ERSPRIME,39634,53.07823745299999,-27.724923823,0.193187218594363,0.022971366212235455,5.69061790642497,1.5410297416519099,15296.660142379735,39634,0.149601,0.1662,1.1387,0.0255975,0,0.81564,0.00973359,0.0,,,2.04887,5.66757,-16.814552,-17.750511,0.20925,-1.0,0.2083,8.54,953.9818513589909,6.196294925658696e+39,1.6779680037392716e+39
2,GS2,45518,53.154086915,-27.69792974,0.2818814162464867,0.005264621278580262,4.87117851404031,1.05949125423011,16433.71975627996,45518,0.633564,1.334,1.1384,0.0268107,0,0.395424,0.00382349,0.0,,,1.84694,4.55811,-17.44108,-18.151095,0.28146,-1.0,0.2825,8.68,1463.5278383184593,1.2483272475959513e+40,2.715137204339604e+39
23,GS4,26696,53.19564104531577,-27.78777124362778,0.2263884209328076,0.0031452829992899556,4.62663424899969,0.9282033550494021,15722.299556358592,26696,0.458644,0.458644,8.0,0.261201,2,1.02181,0.028639,0.0,,,3.40474,4.68754,-17.49971,-17.732477,0.227,0.227,0.2202,7.86,1139.8966533935813,7.192643824717908e+39,1.443000628636675e+39
18,GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.009254443227783871,4.37180834323876,1.18772865255872,16107.064380817186,33511,0.220988,0.220988,0.7823,0.56404,0,0.565086,0.132302,1.2,8.8783,8.88,1.43508,5.87106,-16.948597,-18.110253,0.2535,0.2535,0.2167,8.63,1312.9763484187529,9.017109623377402e+39,2.449759601084005e+39
19,GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.005207479734088531,4.1323714787567,0.995736555171028,15748.400334035596,34368,0.436351,0.436351,2.5304,3.21991,0,0.348786,0.236504,0.7,8.7205,8.82,3.67107,8.59712,-17.666023,-18.375686,0.2312,0.2312,0.2328,8.47,1151.4890483345246,6.555584326169254e+39,1.579634112671041e+39
20,GN3,34077,189.21093005,62.317701301,0.2481206951851821,0.013335969497628386,4.11692172025264,0.936844812425672,16000.907312274034,34077,0.270007,1.096,1.2042,0.185669,0,0.436422,0.0304006,0.1,8.3774,8.38,0.97364,2.93547,-16.531367,-17.43304,0.24795,-1.0,0.2454,8.33,1264.7576745562235,7.879155747873065e+39,1.7929770567111534e+39
6,GN2,21829,189.18371865,62.24985236500001,0.2601189857366626,0.00612322560466514,4.1112401519200406,0.617875393716807,16154.725397144015,21829,0.261549,2564.0,2.1533,0.838031,0,0.023442,0.00360414,3.1,10.8164,10.3,0.3367,11.6458,-18.804581,-21.372472,0.5805,0.0,0.5805,7.65,1334.738859028953,8.763102355403789e+39,1.3170004957013034e+39
35,ERSPRIME,44465,53.05033966000001,-27.703407744,0.2433704904256431,0.005168532593302908,4.03262795207142,1.03895675375783,15940.009687256745,44465,0.224486,0.6862,8.0,0.373085,2,0.425682,0.0167739,0.0,,,0.947199,2.66187,-16.356601,-17.211222,0.2492,-1.0,0.2492,8.35,1237.2558866185261,7.385835706937628e+39,1.9028692904652767e+39
31,GN4,24611,189.3590578192805,62.26414012808544,0.2623648743074986,0.01525848232575925,3.99465281974288,1.63838167271188,16183.517688622132,24611,0.757398,1.119,2.5339,0.374281,0,1.32708,0.122551,0.2,8.7448,8.79,2.28516,6.66924,-17.571467,-18.432024,0.2662,0.2662,0.2943,8.91,1347.919728206708,8.683594378396836e+39,3.5615214950632493e+39
2,GN1,37683,189.30608926,62.360349807,0.2774810736218118,0.001144388341171671,3.9078466906508296,1.36705420761725,16377.307363831627,37683,1.57008,1.57008,0.8085,0.0706395,0,0.690642,0.0231143,0.7,9.082,9.09,4.99338,12.17853,-18.532061,-19.200056,0.2195,-1.0,0.2195,8.61,1437.2959282868555,9.658781402320222e+39,3.3788627860163155e+39
7,GN2,18157,189.18229328,62.23245815499999,0.1968138893998585,0.027063765897924377,3.88996026806824,1.62764684413804,15343.154062106187,18157,0.616173,1.106,1.1696,0.432825,0,1.16805,0.242844,0.7,8.9649,9.02,5.02153,15.99987,-17.627013,-18.692137,0.2013,0.2013,0.2078,8.96,973.999511362268,4.4152476968386105e+39,1.847438915723405e+39
