FIELD,ID,td_lmass,PAB_SFR_EX2,PAB_SFR_EX2_LIMIT,PAB_SFR_EX2_LIMIT_RAND,ir_UV_beta,PAB_SFR_EXCESS_LIMIT_RAND,MASS_BINS,ROLL_STD,ROLL_MAD,EXCESS_DIS_FIT,ROLL_MAD_FIT,ROLL_MAD_FIT_R,ROLL_MAD_FIT_TOP,ROLL_MAD_FIT_BOT,EXCESS_DIS_FIT_BETA_NEG
,41139,4.03,,-4.682493632155546,-4.411095684339895,-1.1609,-4.411095684339895,0,,4.411095684339895,-5.584035143662692,6.756974602985488,-5.584035143662692,2.107399255402864,-4.411095684339895,-3.25924746987138
,26881,6.13,,0.3565522850183047,-0.19086475560756888,-2.2259,-0.19086475560756888,0,,2.300980219973732,-0.6909574053925034,1.1561778348311798,-0.6560851850462452,1.1652537381610792,-2.641004214044384,0.5470104823340836
,33042,6.15,,-4.184665017250952,-5.300211991875601,-1.0644,-5.300211991875601,0,,4.411095684339895,-5.793896576807794,1.184641990324696,-0.6909574053925034,2.525314831706174,-3.9931801080365856,-4.566279353710395
,44048,6.33,,1.0936334202413973,0.8934025152626588,-1.8955,0.8934025152626588,0,,2.652249099801277,0.45739051400513997,1.092097186303764,-0.6560851850462452,1.7271003724784246,-3.1239988528328033,1.5918517554398481
,40131,6.34,,2.2257493087122278,1.92721489626231,-2.0154,1.92721489626231,0,,1.92721489626231,1.4944069274311618,1.1237653742236515,-0.6909574053925034,1.9272148962623101,-3.320170776840243,2.6236928365512764
,42937,6.41,,-0.8841504730996439,-1.040658396882697,-2.123,-1.040658396882697,0,,1.4839366465725035,-1.45103813872925,1.4813775139074297,-1.0709977720608768,1.425093454924158,-2.790451137066966,-0.35797955581129304
,42937,6.41,,0.8153364571715125,0.5945835064668694,-2.123,0.5945835064668694,0,,1.040658396882697,0.1842037646203165,1.1013371472390563,-0.6909574053925034,0.9091729143684442,-2.2745305965112523,1.2772623475382734
,42937,6.41,,0.7791648670180402,0.6218976256318038,-2.123,0.6218976256318038,0,2.3512406711389806,0.9670304560726779,0.21151788378525094,1.0664649268927981,-0.6560851850462452,0.7655352700001241,-2.130892952142932,1.3045764667032078
,42937,6.41,,-0.9203220632531162,-1.287851288398115,-2.123,-1.287851288398115,0,1.973638320514313,1.040658396882697,-1.698231030244668,1.1013371472390563,-0.6909574053925034,0.6218976256318038,-1.9872553077746118,-0.605172447326711
,38861,6.5,,-0.10421914665039411,-0.6277834408100209,-1.3277,-0.6277834408100209,1,1.9693764987972109,0.9670304560726779,-1.0093268908192368,1.231685598115086,-0.8501421481058702,0.6259822650433449,-1.9558565491981363,0.03715370126737483
,38414,6.58,,-0.4696119352991044,-0.4212141331165551,-1.1793,-0.4212141331165551,1,1.9539142220418826,0.8934025152626588,-0.7771253237148046,1.133036514313054,-0.7771253237148046,0.628095604566663,-1.9264290905098838,0.22795260985505528
,27353,6.68,,0.4278004903317254,-0.07293426816170401,-1.1503,-0.07293426816170401,1,1.2599869711909453,0.7605929780363399,-0.3968051344962462,1.2170969736015629,-0.8932261072670207,0.3117636533431134,-1.570671141521871,0.5565194759276748
,22082,6.72,,-2.2323893179273724,-3.5514142410394967,-1.0644,-3.5514142410394967,1,1.6337936210472501,0.8934025152626588,-3.8624689776685557,1.3203816274482958,-1.0093268908192368,0.6556938030017871,-1.8988308920747596,-2.92984569650301
,32567,6.77,,-2.0734921282425276,-1.9052383045912722,-1.6508,-1.9052383045912722,1,2.065187089201783,0.9670304560726779,-2.2002728790884776,1.5537844755651966,-1.2587499010679915,0.673682258421717,-1.8971063486124582,-1.2935262594959016
,37966,6.77,,-0.636948594787497,-0.897418527029216,-1.7501,-0.897418527029216,1,2.039812213409471,0.897418527029216,-1.192453101526421,1.4874876760236262,-1.192453101526421,0.6655503024429028,-1.888974392633644,-0.2857064819338454
,21327,6.79,,-4.322734030410581,-5.012661323361586,-1.0728,-5.012661323361586,2,2.6114090098183276,0.9690384619559564,-5.301287833006049,1.6103721297722988,-1.3217456201278355,0.6776248581981634,-1.8931637488360118,-4.404891878042662
,37724,6.95,,-3.9761090403722434,-4.109889853796737,-1.495,-4.109889853796737,3,2.5059605998862082,1.040658396882697,-4.347251844619269,1.356448355959086,-1.119086365136555,0.717297612388548,-1.8697549066032553,-3.5336612066893833
,16080,7.04,,1.305633778059509,1.681188152592782,-0.4144,1.681188152592782,3,2.545005287589478,1.164254842640406,1.4726624536075876,1.3802367658515715,-1.171711066866377,0.7405644149862096,-1.8575383112129,2.239675100706127
,16039,7.06,,1.5513422230092098,1.976133963850304,-1.7874,1.976133963850304,3,1.817149709028065,1.287851288398115,1.7740163297178513,1.3841997183288517,-1.182082084196399,0.7500321183663088,-1.8591208150401068,2.530678312187203
,23274,7.07,,0.07492349369192919,-0.7932020738854932,-1.6048,-0.7932020738854932,3,1.8016466095400514,1.164254842640406,-0.9921156755915752,1.370624668572459,-1.171711066866377,0.7464783146508791,-1.8516244115482305,-0.24062902543681752
,22443,7.07,,0.22030577053696243,0.26120028976075327,-1.7346,0.26120028976075327,3,1.7945998194674686,1.040658396882697,0.0622866880546713,1.317999966842637,-1.119086365136555,0.7409532110472259,-1.8460993079445773,0.813773338209429
,19237,7.08,,0.10918431836625087,0.23583153121078237,-1.514,0.23583153121078237,3,1.7763988164904765,0.9690384619559564,0.04012196193107109,1.2336038463926962,-1.0378942771129849,0.734792554956635,-1.8359960520775402,0.786433279771235
,22600,7.09,,-3.3144803386441195,-3.26606749739734,-1.9461,-3.26606749739734,3,2.05983134141189,1.040658396882697,-3.4585730342506804,1.2589672002600736,-1.066461663406733,0.7448958108236723,-1.842156708168131,-2.7174370487251105
,32018,7.09,,-2.224080184616356,-2.2995719138361617,-1.7873,-2.2995719138361617,3,2.1056953433681813,1.164254842640406,-2.4920774506895023,1.3115919019898956,-1.119086365136555,0.7504209144273255,-1.8476818117717841,-1.7509414651639323
,23394,7.1,,0.7874362904851537,0.676223277998993,-1.1656,0.676223277998993,3,2.064941366133327,1.040658396882697,0.48692177357202304,1.255763167833703,-1.066461663406733,0.7468671107118954,-1.8401854082799078,1.2228824267829992
,29999,7.12,,1.7201094406048383,1.9873759930272867,-1.8035,1.9873759930272867,4,1.7637040242235251,1.164254842640406,1.8044825534530586,1.3019798047107831,-1.119086365136555,0.756334814091995,-1.8417679121071147,2.5300925420348466
,25348,7.16,,-1.6487434645311319,-2.2903373244081657,-1.7346,-2.2903373244081657,4,1.9202924110785868,1.287851288398115,-2.4604146342769107,1.341788376735122,-1.171711066866377,0.7697451172485406,-1.839407816157875,-1.7555059749534985
,34819,7.17,,-4.009072933879472,-4.237505826759743,-1.9461,-4.237505826759743,4,2.3413934931902256,1.4845197204954486,-4.404379104202118,1.3489553616387733,-1.182082084196399,0.9153540615050839,-1.9810741606379723,-3.704645777193299
,25934,7.18,,0.6896156567083647,0.8478089300129124,-1.5895,0.8478089300129124,4,2.138208710069077,1.287851288398115,0.6841396849969088,1.3353803118823806,-1.171711066866377,0.8478089300129124,-1.9095864293693545,1.3786976796911334
,27473,7.23,,0.06670054788531554,0.10245294665575666,-1.5579,0.10245294665575666,5,2.0863940297219647,1.164254842640406,-0.045196136228393025,1.3193601497505267,-1.171711066866377,0.8206048229600653,-1.8626693234342757,0.6234851968928619
,32140,7.27,,0.1175403180283685,-0.32720396734308776,-1.5782,-0.32720396734308776,5,1.9552641121184815,1.040658396882697,-0.46203692052175427,1.2539193183152215,-1.119086365136555,0.7914294160189952,-1.8177235173874204,0.18594308334112486
,31334,7.33,,0.37718060034641177,0.09675750091330393,-1.4669,0.09675750091330393,5,1.9304147128603633,0.9690384619559564,-0.018851257707138025,1.234695123756997,-1.119086365136555,0.7977321117446812,-1.8003706144544285,0.5980767522681776
,23425,7.36,,0.7110573147815429,0.30245191567947805,-1.2008,0.30245191567947805,5,1.7570354074340726,0.897418527029216,0.1964552543381486,1.1438909384543143,-1.0378942771129849,0.7981209078056974,-1.7889316111861058,0.7978572673696822
,37494,7.36,,0.23525387287664712,-0.08351836074670915,-1.6514,-0.08351836074670915,5,0.8213506459684706,0.8954105211459373,-0.1895150220880386,1.1438909384543143,-1.0378942771129849,0.7899889518268834,-1.7807996552072918,0.411886990943495
,32823,7.38,,-0.30043366610591793,-0.7714941243942883,-1.8672,-0.7714941243942883,5,0.9324705618919757,0.8934025152626588,-0.8710827208828764,1.100309879693994,-1.000721283205406,0.7857995956245156,-1.7687250994520312,-0.28003137248053056
,26910,7.41,,0.029744445058715208,0.3611065599410752,-0.236,0.3611065599410752,6,1.1210895268042225,0.8706057226377856,0.2711300607315996,1.2090628643460306,-1.119086365136555,0.764523534911548,-1.7356212394097246,0.8466554121901635
,26910,7.41,,0.04406190902247875,-0.8727739313785916,-0.236,-0.8727739313785916,6,1.2589537439583478,0.8727739313785916,-0.9627504305880672,1.2090628643460306,-1.119086365136555,0.7373335745339109,-1.7084312790320875,-0.3872250791295033
,26910,7.41,,0.03656920737767155,-0.035635197647027717,-0.236,-0.035635197647027717,6,1.2673458762433816,0.860291430695752,-0.1256116968565033,1.1718898704384517,-1.0819133712289761,0.549220067237493,-1.5203177717356695,0.44991365460206056
,23108,7.41,,-2.423131315811289,-2.6318790517544874,-1.4366,-2.6318790517544874,6,1.6599646565855481,0.8727739313785916,-2.721855550963963,1.1718898704384517,-1.0819133712289761,0.7373335745339109,-1.7084312790320875,-2.146330199505399
,26910,7.41,,0.037237146703522406,-0.4682316587031634,-0.236,-0.4682316587031634,6,1.6780914574711043,0.860291430695752,-0.558208157912639,1.1718898704384517,-1.0819133712289761,0.549220067237493,-1.5203177717356695,0.01731719354592487
,15908,7.42,,-2.212776344381231,-2.0504018414325014,-2.2428,-2.0504018414325014,6,1.7333701885444348,0.8727739313785916,-2.1371743082156063,1.168685838012081,-1.0819133712289761,0.739304874422134,-1.7064599791438644,-1.5668242890716362
,40188,7.42,,1.577955893053605,1.4221782265473801,-1.6775,1.4221782265473801,6,1.6982233931070205,0.8830882233206252,1.3354057597642752,1.168685838012081,-1.0819133712289761,0.7664948347997711,-1.7336499395215015,1.9057557789082453
,34903,7.43,,0.13682987588150652,-0.7610652643564499,-1.654,-0.7610652643564499,7,1.5463162430714688,0.8727739313785916,-0.8446336987131842,1.0696535770654862,-0.986085142708752,0.7412761743103571,-1.7044886792556413,-0.27945901188380784
