FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,PAB_L,PAB_L_ERR,SIGMA_1,PAB_SFR,PAB_SFR_ERR,UV_SFR_ERR,PAB_SFR_EX2,PAB_SFR_EX2_ladder,PAB_SFR_EX2_ERR
GN4,27689,189.25178857,62.27917241099998,0.1075989215276381,0.10442632387769346,1.7394850750542,0.8697092024416689,14199.41817398432,27689,0.00363995,0.02798,0.0,0.943,1.4337,0.204505,0,0.35895,0.0245804,0.0,0.59078,1.82769,-12.755035,-14.108228,0,0.11349,-1.0,2,0.1132,7.5,-99.0,-99.0,0.0045372,0.08,0.00363995,0.000679598,-0.0109444,0.0331,0.3496,0.0,503.21877888521215,5.270196582845822e+38,2.6349972946073325e+38,6.821180079644733,-1.298173184929226,0.21699168292543325,0.0810301053585901,1.1407313970462334,1.1407313970462334,0.23162743454357035
GS3,40457,53.160331574,-27.720494582,0.1381881134665205,0.033167890294336734,3.1846732885146403,2.03293227010865,14591.571614640794,40457,0.00420831,0.8221,,1.274,2.1934,0.0391882,1,0.907416,0.00953103,0.1,1.82167,6.98314,-18.628469,-19.709207,0,0.14168,-1.0,2,0.1418,8.4,0.036491,0.0021784,0.034313,0.06,0.00420831,0.00219303,-0.00579115,2.5011,2.5011,0.0,659.4441570772848,1.6569651094751317e+39,1.0577216362018736e+39,7.3284940618633465,-0.8006866363736407,0.2770433652987566,0.2261656151756881,1.575205639531403,1.575205639531403,0.3576365637681049
GS3,36009,53.13949235500003,-27.74177221500002,0.1457451428687669,0.027368189435656016,3.1813478898402,2.12191872538144,14688.45273157759,36009,0.0859346,0.3369,,0.73,1.3619,0.0330928,0,0.858078,0.0123441,0.1,2.29224,5.77815,-15.810263,-16.87258,0,0.1497,-1.0,2,0.1495,8.18,0.070451,0.0045967,0.065854,0.15,0.0859346,0.0104449,-0.0468719,-0.545,-0.545,0.0,698.8901577802773,1.8591800104397626e+39,1.2400495056217049e+39,8.551415308479926,-0.7506785587187537,0.28947249992889107,0.05275042415976801,0.3151533814828713,0.3151533814828713,0.29423958853987897
GS3,38727,53.177301217,-27.730087614,0.1908128143263283,0.04364668682730262,2.00616588853833,1.20052785793792,15266.22027966353,38727,0.0396817,0.05142,,0.352,1.0206,0.0557097,0,0.503904,0.0102188,0.1,0.438501,1.26476,-14.910141,-15.893501,0,0.24857,-1.0,2,0.2042,8.02,0.068079,0.021714,0.046366,0.2,0.0396817,0.0060676,-0.094367,-1.6345,-1.6345,0.0,940.9152774645243,2.1250067365975382e+39,1.2716444837220395e+39,7.6832117778404285,-0.6926396888313207,0.2597138618106367,0.06636153189001479,0.7087700417186886,0.7087700417186886,0.268058096186972
GS3,37608,53.17089271399998,-27.73565032400001,0.1599141702341826,0.09326119617956592,1.92071620732818,1.29856289506399,14870.099662402221,37608,0.0160059,0.01837,,0.233,2.0969,0.206129,1,0.527202,0.0340905,0.0,0.525783,1.17766,-14.159971,-15.089936,0,0.1474,-1.0,2,0.1522,7.44,-99.0,-99.0,0.014553,0.14,0.0160059,0.00193278,-0.0397656,-1.8672,-1.8672,0.0,773.739955227925,1.375769503396972e+39,9.301338857118669e+38,7.594131215924559,-0.881454321760387,0.29341986822807975,0.05240733229621577,0.9142655790131651,0.9142655790131651,0.29806332808547525
GS3,34682,53.15581561199998,-27.749144039,0.1040482993612412,0.10993337493545309,1.56574353321087,1.26657837485782,14153.899197811113,34682,0.00523458,0.03803,,0.918,1.0794,0.0374852,0,0.638094,0.00975548,0.2,0.621609,2.21734,-13.041504,-14.517469,0,0.13769,-1.0,2,0.1224,7.93,0.012353,0.0020343,0.010319,0.09,0.00523458,0.000990412,-0.0142719,-0.0253,0.4724,0.0,485.44833443409635,4.414678551991544e+38,3.571170033469377e+38,7.270825005684036,-1.3751009134179384,0.35107602428415224,0.08211524286571224,0.9060172450752892,0.9060172450752892,0.3605513665735599
ERSPRIME,42502,53.06568401450761,-27.71184852348733,0.203935072018745,0.026204875422684237,0.748690146294504,0.447394265988508,15434.44762328031,42502,0.0965209,0.114,,0.305,1.2784,0.104245,0,0.16296,0.0041253,0.3,0.589071,1.08151,-15.693983,-16.231899,0,0.20865,-1.0,2,0.2183,7.4,-99.0,-99.0,0.051122,0.24,0.0965209,0.00785463,-0.148928,-1.729,-1.729,0.0,1013.5144061531396,9.201410343377042e+38,5.498480575721257e+38,6.930106895825768,-1.056145601197585,0.2593450874170238,0.03531783706948443,-0.04076696399101998,-0.04076696399101998,0.2617388469115931
