FIELD,ID,td_lmass,PAB_SFR_EX2,PAB_SFR_EX2_LIMIT,PAB_SFR_EX2_LIMIT_RAND,ir_UV_beta,PAB_SFR_EXCESS_LIMIT_RAND,MASS_BINS,ROLL_STD,ROLL_MAD,EXCESS_DIS_FIT,ROLL_MAD_FIT,ROLL_MAD_FIT_R,ROLL_MAD_FIT_TOP,ROLL_MAD_FIT_BOT
,41139,4.03,,-4.682493632155546,-4.411095684339895,-1.1609,-4.411095684339895,0,,4.411095684339895,-5.584035143662692,6.756974602985488,-5.584035143662692,6.756974602985488,-4.411095684339895
,41160,5.48,,0.5609209348218962,0.08714179279904721,5.0433,0.08714179279904721,0,,2.2491187385694715,-0.6212129646999871,3.810978811680374,-3.10262405418134,3.810978811680374,-2.394269296682305
,37545,5.89,,1.3767571538890793,0.2918686391850742,5.1119,0.2918686391850742,0,,0.2918686391850742,-0.2851207888327587,1.19820239271782,-0.6212129646999871,1.19820239271782,-0.044223536682154174
,26881,6.13,,0.3565522850183047,-0.19086475560756888,-2.2259,-0.19086475560756888,0,,0.24136669739632155,-0.6909574053925034,1.1561778348311798,-0.6560851850462452,1.1561778348311798,-0.15599253526131074
,33042,6.15,,-4.184665017250952,-5.300211991875601,-1.0644,-5.300211991875601,0,,0.2918686391850742,-5.793896576807794,1.184641990324696,-0.6909574053925034,1.184641990324696,-0.1972728204603107
,44048,6.33,,1.0936334202413973,0.8934025152626588,-1.8955,0.8934025152626588,0,,0.5926355772238665,0.45739051400513997,1.092097186303764,-0.6560851850462452,1.092097186303764,-0.22007318378872642
,40131,6.34,,2.2257493087122278,1.92721489626231,-2.0154,1.92721489626231,0,,0.8934025152626588,1.4944069274311618,1.1237653742236515,-0.6909574053925034,1.1237653742236515,-0.25814943656135525
,42937,6.41,,-0.8841504730996439,-1.040658396882697,-2.123,-1.040658396882697,0,,0.9670304560726779,-1.45103813872925,1.4813775139074297,-1.0709977720608768,1.4813775139074297,-0.6606180302143239
,42937,6.41,,0.8153364571715125,0.5945835064668694,-2.123,0.5945835064668694,0,,0.8934025152626588,0.1842037646203165,1.1013371472390563,-0.6909574053925034,1.1013371472390563,-0.2805776635459505
,42937,6.41,,0.7791648670180402,0.6218976256318038,-2.123,0.6218976256318038,0,2.3512406711389806,0.7576500704472313,0.21151788378525094,1.0664649268927981,-0.6560851850462452,1.0664649268927981,-0.24570544319969234
,42937,6.41,,-0.9203220632531162,-1.287851288398115,-2.123,-1.287851288398115,0,1.973638320514313,0.8934025152626588,-1.698231030244668,1.1013371472390563,-0.6909574053925034,1.1013371472390563,-0.2805776635459505
,38861,6.5,,-0.10421914665039411,-0.6277834408100209,-1.3277,-0.6277834408100209,1,1.9693764987972109,0.7605929780363399,-1.0093268908192368,1.231685598115086,-0.8501421481058702,1.231685598115086,-0.4685986980966542
,38414,6.58,,-0.4696119352991044,-0.4212141331165551,-1.1793,-0.4212141331165551,1,1.9539142220418826,0.6277834408100209,-0.7771253237148046,1.133036514313054,-0.7771253237148046,1.133036514313054,-0.4212141331165551
,26559,6.61,,2.2093902251401016,1.4127607567258704,4.4321,1.4127607567258704,1,2.044284930035089,0.7605929780363399,1.066461663406733,1.2395252005861581,-0.8932261072670207,1.2395252005861581,-0.5469270139478832
GS4,26559,6.61,2.3972166900562155,,,4.4321,2.3972166900562155,1,1.2609745833478512,0.8934025152626588,2.050917596737078,1.3556259841383742,-1.0093268908192368,1.3556259841383742,-0.6630277975000993
,27353,6.68,,0.4278004903317254,-0.07293426816170401,-1.1503,-0.07293426816170401,1,1.2599869711909453,0.7605929780363399,-0.3968051344962462,1.2170969736015629,-0.8932261072670207,1.2170969736015629,-0.5693552409324785
,22082,6.72,,-2.2323893179273724,-3.5514142410394967,-1.0644,-3.5514142410394967,1,1.6337936210472501,0.8934025152626588,-3.8624689776685557,1.3203816274482958,-1.0093268908192368,1.3203816274482958,-0.6982721541901777
GS3,39564,6.77,2.6090625894450135,,,2.1956,2.6090625894450135,1,1.8214053014758087,0.9670304560726779,2.3140280149478083,1.33292885161019,-1.0378942771129849,1.33292885161019,-0.7428597026157797
,39564,6.77,,2.2709045346389765,2.3314137247346842,2.1956,2.3314137247346842,1,1.9452607567601101,1.040658396882697,2.036379150237479,1.3614962379039381,-1.066461663406733,1.3614962379039381,-0.7714270889095278
,32567,6.77,,-2.0734921282425276,-1.9052383045912722,-1.6508,-1.9052383045912722,1,2.065187089201783,1.164254842640406,-2.2002728790884776,1.5537844755651966,-1.2587499010679915,1.5537844755651966,-0.9637153265707863
,37966,6.77,,-0.636948594787497,-0.897418527029216,-1.7501,-0.897418527029216,1,2.039812213409471,1.040658396882697,-1.192453101526421,1.4874876760236262,-1.192453101526421,1.4874876760236262,-0.8974185270292159
,21327,6.79,,-4.322734030410581,-5.012661323361586,-1.0728,-5.012661323361586,2,2.6114090098183276,1.164254842640406,-5.301287833006049,1.6103721297722988,-1.3217456201278355,1.6103721297722988,-1.0331191104833721
,30658,6.81,,2.331142629119122,2.385275195487062,2.0663,2.385275195487062,2,2.745612001866326,1.287851288398115,2.10305675069534,1.733256583520972,-1.45103813872925,1.733256583520972,-1.168819693937528
,44280,6.83,,1.3171870018841827,1.059872424106484,4.1059,1.059872424106484,2,2.727208580033153,1.1738618562522996,0.7840620441675035,1.597556000066816,-1.3217456201278355,1.597556000066816,-1.0459352401888549
